ProductName,ProductURL,Category,SubCategory,ShortDescription,ServingInfo,BasePrice,Currency,Notes,Shopify,Amazon,TikTok
Magnesium Glycinate,https://supliful.com/catalog/magnesium-glycinate-capsules,Vitamins & Minerals,,Magnesium Glycinate supports muscle relaxation and sleep quality,,8.89,USD,Manufacturer: USA | SRP: $26.90,1,0,1
Fat Burner with MCT,https://supliful.com/catalog/fat-burner-mct-capsules,Weight Management,,Fat Burner with MCT supports metabolism and energy,,8.35,USD,Manufacturer: USA | SRP: $33.90,1,0,1
Retinol and Peptide Face Serum,https://supliful.com/catalog/retinol-peptide-face-serum,Facial Care,,Retinol and Peptide Face Serum supports skin renewal,,12.15,USD,Manufacturer: USA | SRP: $29.90,1,0,0
Hair Skin and Nails Essentials,https://supliful.com/catalog/hair-skin-nails-essentials-capsules,"Skin, Hair & Nail Health",,"Hair Skin and Nails Essentials support healthy hair, skin, and nails",,7.79,USD,Manufacturer: USA | SRP: $32.90,1,0,1
Hydration Powder (Lemonade),https://supliful.com/catalog/hydration-powder-lemonade,Intra-Workout Supplements,,Hydration Powder with electrolytes and lemonade flavor,,11.45,USD,Manufacturer: USA | SRP: $34.99,1,0,1
Hyaluronic Acid Serum,https://supliful.com/catalog/hyaluronic-acid-serum,Facial Care,,Hyaluronic Acid Serum hydrates and plumps skin,,5.99,USD,Manufacturer: USA | SRP: $30.00,1,0,1
Hair Skin and Nails Strips,https://supliful.com/catalog/hair-skin-nails-strips,"Skin, Hair & Nail Health",,Hair Skin and Nails Strips support beauty from within,,8.03,USD,Manufacturer: USA | SRP: $32.90,1,0,1
Brain & Focus Formula,https://supliful.com/catalog/brain-focus-formula-capsules,Brain & Cognitive,,Brain & Focus Formula supports mental clarity and focus,,6.95,USD,Manufacturer: USA | SRP: $39.90,1,0,1
Mushroom Focus Strips,https://supliful.com/catalog/mushroom-focus-strips,Mushroom Products,,Mushroom Focus Strips combine functional mushrooms for cognitive support,,8.03,USD,Manufacturer: USA | SRP: $39.00,1,0,1
Max Detox (Acai detox),https://supliful.com/catalog/max-detox-acai-capsules,Digestive Support,,Max Detox with Acai supports cleansing and digestive health,,7.59,USD,Manufacturer: USA | SRP: $29.90,1,0,1
Resveratrol 50% 600mg,https://supliful.com/catalog/resveratrol-50-percent-capsules,Weight Management,,Resveratrol 600mg supports healthy aging and metabolism,,8.55,USD,Manufacturer: USA | SRP: $25.90,1,0,1
Probiotic + Metabolism Strips,https://supliful.com/catalog/probiotic-metabolism-strips,Digestive Support,,Probiotic + Metabolism Strips support gut health and metabolism,,9.12,USD,Manufacturer: USA | SRP: $39.00,1,0,1
Libido Support Strips,https://supliful.com/catalog/libido-support-strips,Sexual & Reproductive Wellness,,Libido Support Strips promote healthy sexual wellness,,8.72,USD,Manufacturer: USA | SRP: $37.90,1,0,0
Bone Support Strips,https://supliful.com/catalog/bone-support-strips,"Bone, Joint & Cartilage",,Bone Support Strips promote strong bones and joint health,,8.03,USD,Manufacturer: USA | SRP: $28.90,1,0,1
Cognitive Relax Strips,https://supliful.com/catalog/cognitive-relax-strips,Brain & Cognitive,,Cognitive Relax Strips support calm focus and mental relaxation,,8.03,USD,Manufacturer: USA | SRP: $32.90,1,0,1
Advanced 100% Whey Protein Isolate (Chocolate),https://supliful.com/catalog/advanced-whey-protein-powder-isolate-chocolate,Proteins,,Advanced Whey Protein Isolate with chocolate flavor for muscle support,,24.99,USD,Manufacturer: USA | SRP: $49.90,1,0,1
Vitamin C Serum,https://supliful.com/catalog/vitamin-c-serum,Facial Care,,Vitamin C Serum brightens and protects skin,,7.45,USD,Manufacturer: USA | SRP: $20.00,1,0,1
Berberine,https://supliful.com/catalog/berberine-capsules,Weight Management,,Berberine supports healthy glucose metabolism,,7.55,USD,Manufacturer: USA | SRP: $39.90,1,0,1
Peptide Hair Growth Serum,https://supliful.com/catalog/peptide-hair-growth-serum,Hair Care,,Peptide Hair Growth Serum supports healthy hair growth,,10.75,USD,Manufacturer: USA | SRP: $65.00,1,0,1
Digestive + Gut Health Strips,https://supliful.com/catalog/digestive-gut-health-strips,Digestive Support,,Digestive + Gut Health Strips support digestive wellness,,8.72,USD,Manufacturer: USA | SRP: $35.90,1,0,1
Ashwagandha,https://supliful.com/catalog/ashwagandha-capsules,Specialty Supplements,,Ashwagandha supports stress relief and vitality,,5.95,USD,Manufacturer: USA | SRP: $23.90,1,0,1
10% Niacinamide Serum,https://supliful.com/catalog/10-percent-niacinamide-serum,Facial Care,,10% Niacinamide Serum refines and brightens skin,,11.35,USD,Manufacturer: USA | SRP: $23.99,1,0,0
Probiotic 20 Billion,https://supliful.com/catalog/probiotic-20-billion-cfu-capsules,Digestive Support,,Probiotic 20 Billion supports gut health with beneficial bacteria,,6.95,USD,Manufacturer: USA | SRP: $19.95,1,0,1
Energy Strips,https://supliful.com/catalog/energy-strips,Brain & Cognitive,,Energy Strips provide quick energy and mental alertness,,8.75,USD,Manufacturer: USA | SRP: $36.50,1,0,1
Alpha Energy,https://supliful.com/catalog/alpha-energy-capsules,Sexual & Reproductive Wellness,,Alpha Energy supports vitality and performance,,8.59,USD,Manufacturer: USA | SRP: $40.90,1,0,1
Vision Support,https://supliful.com/catalog/vision-support-capsules,"Eye, Ear & Nose",,Vision Support promotes healthy eyesight,,6.95,USD,Manufacturer: USA | SRP: $28.85,1,0,1
Liver Support,https://supliful.com/catalog/liver-support-capsules,Digestive Support,,Liver Support promotes healthy liver function and detoxification,,6.19,USD,Manufacturer: USA | SRP: $29.90,1,0,1
Iron Strips,https://supliful.com/catalog/iron-strips,Vitamins & Minerals,,Iron Strips support healthy iron levels and energy,,8.72,USD,Manufacturer: USA | SRP: $28.90,1,0,1
Complete Multivitamin,https://supliful.com/catalog/complete-multivitamin-capsules,Vitamins & Minerals,,Complete Multivitamin supports overall health and wellness,,7.89,USD,Manufacturer: USA | SRP: $32.90,1,0,1
Men's Vitality,https://supliful.com/catalog/mens-vitality-tablets,Sexual & Reproductive Wellness,,Men's Vitality supports male health and vitality,,7.39,USD,Manufacturer: USA | SRP: $36.90,1,0,1
Greens Superfood,https://supliful.com/catalog/greens-superfood-powder,Greens & Superfoods,,Greens Superfood provides essential nutrients from vegetables and fruits,,7.59,USD,Manufacturer: USA | SRP: $35.90,1,0,1
Beetroot,https://supliful.com/catalog/beetroot-capsules,Post-Workout Recovery,,Beetroot supports stamina and post-workout recovery,,7.79,USD,Manufacturer: USA | SRP: $20.90,1,0,1
Sleep Strips,https://supliful.com/catalog/sleep-strips,Sleep & Relaxation,,Sleep Strips support restful sleep and relaxation,,8.05,USD,Manufacturer: USA | SRP: $36.50,1,0,1
Advanced 100% Whey Protein Isolate (Vanilla),https://supliful.com/catalog/advanced-whey-protein-powder-isolate-vanilla,Proteins,,Advanced Whey Protein Isolate with vanilla flavor for muscle support,,24.99,USD,Manufacturer: USA | SRP: $49.90,1,0,1
Joint Support,https://supliful.com/catalog/joint-support-capsules,"Bone, Joint & Cartilage",,Joint Support promotes healthy joints and flexibility,,6.99,USD,Manufacturer: USA | SRP: $29.90,1,0,1
Prostate Support,https://supliful.com/catalog/prostate-support-capsules,Sexual & Reproductive Wellness,,Prostate Support promotes healthy prostate function,,6.95,USD,Manufacturer: USA | SRP: $29.90,1,0,1
Energy Powder (Fruit Punch),https://supliful.com/catalog/energy-powder-fruit-punch,Pre-Workout Supplements,,Energy Powder with fruit punch flavor for workout energy,,11.65,USD,Manufacturer: USA | SRP: $34.99,1,0,1
Cognitive Support,https://supliful.com/catalog/cognitive-support-capsules,Brain & Cognitive,,Cognitive Support enhances mental clarity and brain function,,6.65,USD,Manufacturer: USA | SRP: $29.90,1,0,1
Hangover Strips,https://supliful.com/catalog/hangover-strips,Specialty Supplements,,Hangover Strips support recovery after alcohol consumption,,8.05,USD,Manufacturer: USA | SRP: $36.50,1,0,1
Horny Goat Weed Blend,https://supliful.com/catalog/horny-goat-weed-blend-capsules,Sexual & Reproductive Wellness,,Horny Goat Weed Blend supports sexual health and vitality,,7.15,USD,Manufacturer: USA | SRP: $33.90,1,0,1
Grass-Fed Hydrolyzed Collagen Peptides,https://supliful.com/catalog/grass-fed-hydrolyzed-collagen-peptides-powder,"Skin, Hair & Nail Health",,"Grass-Fed Collagen Peptides support skin, hair, and nail health",,16.65,USD,Manufacturer: USA | SRP: $33.90,1,0,1
Lion's Mane Mushroom,https://supliful.com/catalog/lions-mane-mushroom-capsules,Mushroom Products,,Lion's Mane Mushroom supports cognitive function and focus,,11.65,USD,Manufacturer: USA | SRP: $33.90,1,0,1
Probiotic 40 Billion with Prebiotics,https://supliful.com/catalog/probiotic-40-billion-prebiotics-capsules,Digestive Support,,Probiotic 40 Billion with prebiotics supports digestive health,,10.09,USD,Manufacturer: USA | SRP: $30.90,1,0,1
Hair Skin & Nails Gummies,https://supliful.com/catalog/hair-skin-nails-gummies,"Skin, Hair & Nail Health",,Hair Skin & Nails Gummies support beauty from within,,9.79,USD,Manufacturer: USA | SRP: $34.90,1,0,1
Pure3 100% Whey Protein Isolate (Chocolate),https://supliful.com/catalog/pure3-whey-protein-powder-isolate-chocolate,Proteins,,Pure3 Whey Protein Isolate with chocolate flavor for muscle support,,22.69,USD,Manufacturer: USA | SRP: $49.86,1,0,1
Botanical Hair Growth Serum,https://supliful.com/catalog/botanical-hair-growth-serum,Hair Care,,Botanical Hair Growth Serum promotes healthy hair growth,,9.49,USD,Manufacturer: USA | SRP: $55.00,1,0,1
Fruits and Veggies,https://supliful.com/catalog/fruits-veggies-capsules,Greens & Superfoods,,Fruits and Veggies provide essential nutrients from produce,,6.09,USD,Manufacturer: USA | SRP: $49.95,1,0,1
Focus Powder (Sour Grape),https://supliful.com/catalog/focus-powder-sour-grape,Brain & Cognitive,,Focus Powder with sour grape flavor for mental clarity,,13.75,USD,Manufacturer: USA | SRP: $39.90,1,0,1
Reds Superfood,https://supliful.com/catalog/reds-superfood-powder,Greens & Superfoods,,Reds Superfood provides antioxidants from berries and red fruits,,8.75,USD,Manufacturer: USA | SRP: $30.00,1,0,1
Sleep Formula,https://supliful.com/catalog/sleep-formula-capsules,Sleep & Relaxation,,Sleep Formula supports restful sleep and relaxation,,6.95,USD,Manufacturer: USA | SRP: $29.90,1,0,1
Hydration Powder (Lychee),https://supliful.com/catalog/hydration-powder-lychee,Intra-Workout Supplements,,Hydration Powder with lychee flavor and electrolytes,,11.45,USD,Manufacturer: USA | SRP: $34.99,1,0,1
Hydration Powder (Peach Mango),https://supliful.com/catalog/hydration-powder-peach-mango,Intra-Workout Supplements,,Hydration Powder with peach mango flavor and electrolytes,,11.45,USD,Manufacturer: USA | SRP: $34.99,1,0,1
Mushroom Coffee Fusion - Lion's Mane & Chaga 16oz,https://supliful.com/catalog/mushroom-coffee-fusion-lions-mane-chaga-16oz,Coffee & Tea,,Mushroom Coffee Fusion with Lion's Mane and Chaga for cognitive support,,18.69,USD,Manufacturer: USA | SRP: $36.90,1,0,0
Keto BHB,https://supliful.com/catalog/keto-bhb-capsules,Specialty Supplements,,Keto BHB supports ketogenic diet and energy,,6.39,USD,Manufacturer: USA | SRP: $19.95,1,0,0
Plant Protein (Chocolate),https://supliful.com/catalog/plant-protein-powder-chocolate,Proteins,,Plant Protein with chocolate flavor for muscle support,,24.99,USD,Manufacturer: USA | SRP: $44.90,1,0,1
BCAA Post Workout Powder (Honeydew/Watermelon),https://supliful.com/catalog/bcaa-post-workout-powder-honeydew-watermelon,Post-Workout Recovery,,BCAA Post Workout Powder supports muscle recovery,,15.35,USD,Manufacturer: USA | SRP: $35.90,1,0,1
Pure3 100% Whey Protein Isolate (Vanilla),https://supliful.com/catalog/pure3-whey-protein-powder-isolate-vanilla,Proteins,,Pure3 Whey Protein Isolate with vanilla flavor for muscle support,,22.69,USD,Manufacturer: USA | SRP: $49.86,1,0,1
Energy Powder (Cotton Candy),https://supliful.com/catalog/energy-powder-cotton-candy,Pre-Workout Supplements,,Energy Powder with cotton candy flavor for workout energy,,11.65,USD,Manufacturer: USA | SRP: $34.99,1,0,1
Recovery Cream,https://supliful.com/catalog/recovery-cream,Body Care,,Recovery Cream soothes muscles and supports post-workout recovery,,14.29,USD,Manufacturer: USA | SRP: $39.85,1,0,1
BCAA Shock Powder (Fruit Punch),https://supliful.com/catalog/bcaa-shock-powder-fruit-punch,Intra-Workout Supplements,,BCAA Shock Powder with fruit punch flavor for workout performance,,15.35,USD,Manufacturer: USA | SRP: $33.90,1,0,1
Energy Powder (Strawberry Shortcake),https://supliful.com/catalog/energy-powder-strawberry-shortcake,Pre-Workout Supplements,,Energy Powder with strawberry shortcake flavor for workout energy,,11.65,USD,Manufacturer: USA | SRP: $34.99,1,0,1
Peptide Eye Gel-Cream,https://supliful.com/catalog/peptide-eye-gel-cream,Facial Care,,Peptide Eye Gel-Cream reduces puffiness and dark circles,,15.95,USD,Manufacturer: USA | SRP: $35.99,1,0,0
Nitric Oxide,https://supliful.com/catalog/nitric-oxide-capsules,Post-Workout Recovery,,Nitric Oxide supports blood flow and muscle performance,,7.55,USD,Manufacturer: USA | SRP: $39.99,1,0,1
Hydration Powder (Passion Fruit),https://supliful.com/catalog/hydration-powder-passion-fruit,Intra-Workout Supplements,,Hydration Powder with passion fruit flavor and electrolytes,,11.45,USD,Manufacturer: USA | SRP: $34.99,1,0,1
Women's Vitality Formula,https://supliful.com/catalog/womens-vitality-formula-capsules,Sexual & Reproductive Wellness,,Women's Vitality Formula supports female health and energy,,6.99,USD,Manufacturer: USA | SRP: $30.50,1,0,1
Energy Powder (Guava Berry),https://supliful.com/catalog/energy-powder-guava-berry,Pre-Workout Supplements,,Energy Powder with guava berry flavor for workout energy,,11.65,USD,Manufacturer: USA | SRP: $34.99,1,0,1
Colostrum Powder,https://supliful.com/catalog/colostrum-powder,Post-Workout Recovery,,Colostrum Powder supports immune health and gut wellness,,9.76,USD,Manufacturer: USA | SRP: $39.95,1,0,1
Bee Pearl,https://supliful.com/catalog/bee-pearl-capsules,Bee Products,,Bee Pearl provides royal jelly for energy and vitality,,9.35,USD,Manufacturer: USA | SRP: $34.90,1,0,1
Mushroom Complex 10 X,https://supliful.com/catalog/mushroom-complex-10x-capsules,Mushroom Products,,Mushroom Complex 10 X with ten mushroom species for wellness,,7.05,USD,Manufacturer: USA | SRP: $35.90,1,0,1
Fermented Mushroom Blend,https://supliful.com/catalog/fermented-mushroom-blend-powder,Mushroom Products,,Fermented Mushroom Blend supports immune function,,26.39,USD,Manufacturer: USA | SRP: $51.90,1,0,1
Sea Moss,https://supliful.com/catalog/sea-moss-capsules,Greens & Superfoods,,Sea Moss provides minerals from ocean plants,,6.89,USD,Manufacturer: USA | SRP: $25.90,1,0,1
Ultra Cleanse Smoothie Greens,https://supliful.com/catalog/ultra-cleanse-smoothie-greens-powder,Greens & Superfoods,,Ultra Cleanse Smoothie Greens detoxifies and energizes,,26.65,USD,Manufacturer: USA | SRP: $42.90,1,0,1
Colon Gentle Cleanse,https://supliful.com/catalog/colon-gentle-cleanse-sachets,Digestive Support,,Colon Gentle Cleanse supports digestive health,,16.15,USD,Manufacturer: USA | SRP: $35.00,1,0,1
Nitric Shock Pre-Workout Powder (Fruit Punch),https://supliful.com/catalog/nitric-shock-pre-workout-powder-fruit-punch,Pre-Workout Supplements,,Nitric Shock Pre-Workout Powder boosts energy and performance,,16.39,USD,Manufacturer: USA | SRP: $38.90,1,0,1
Beetroot Powder,https://supliful.com/catalog/beetroot-powder,Post-Workout Recovery,,Beetroot Powder supports endurance and blood flow,,8.95,USD,Manufacturer: USA | SRP: $35.90,1,0,1
"Vitamin D3 2,000 IU",https://supliful.com/catalog/vitamin-d3-2000iu-softgel-capsules,Vitamins & Minerals,,Vitamin D3 supports bone health and immune function,,7.85,USD,Manufacturer: USA | SRP: $19.90,1,0,1
Bone & Heart Support,https://supliful.com/catalog/bone-heart-support-capsules,"Bone, Joint & Cartilage",,Bone & Heart Support promotes cardiovascular and bone health,,7.19,USD,Manufacturer: USA | SRP: $29.90,1,0,1
Grass-Fed Collagen Peptides Powder (Chocolate),https://supliful.com/catalog/grass-fed-collagen-peptides-powder-chocolate,"Skin, Hair & Nail Health",,Grass-Fed Collagen Peptides Powder with chocolate flavor,,18.05,USD,Manufacturer: USA | SRP: $35.90,1,0,1
Maca Plus,https://supliful.com/catalog/maca-plus-capsules,Sexual & Reproductive Wellness,,Maca Plus supports energy and vitality,,7.69,USD,Manufacturer: USA | SRP: $32.90,1,0,1
Bee Bread Powder,https://supliful.com/catalog/bee-bread-powder-sachets,Bee Products,,Bee Bread Powder provides fermented pollen for nutrition,,15.75,USD,Manufacturer: USA | SRP: $47.90,1,0,1
Grass-Fed Collagen Creamer (Vanilla),https://supliful.com/catalog/grass-fed-collagen-creamer-vanilla-powder,"Skin, Hair & Nail Health",,Grass-Fed Collagen Creamer with vanilla flavor for coffee,,19.19,USD,Manufacturer: USA | SRP: $35.90,1,0,1
Omega-3 EPA 180mg + DHA 120mg,https://supliful.com/catalog/omega-3-epa-dha-softgel-capsules,Fish Oil & Omega Fatty Acids,,Omega-3 supports heart and brain health,,9.15,USD,Manufacturer: USA | SRP: $24.90,1,0,1
Platinum Turmeric,https://supliful.com/catalog/platinum-turmeric-capsules,Specialty Supplements,,Platinum Turmeric supports joint health and inflammation,,7.95,USD,Manufacturer: USA | SRP: $25.90,1,0,1
CoQ10 Ubiquinone,https://supliful.com/catalog/coq10-ubiquinone-capsules,Post-Workout Recovery,,CoQ10 supports cellular energy and heart health,,9.65,USD,Manufacturer: USA | SRP: $28.90,1,0,1
Hydration Powder (Matcha Green Tea),https://supliful.com/catalog/hydration-powder-matcha-green-tea,Intra-Workout Supplements,,Hydration Powder with matcha green tea flavor and electrolytes,,11.45,USD,Manufacturer: USA | SRP: $34.99,1,0,1
Female Enhancement,https://supliful.com/catalog/female-enhancement-capsules,Sexual & Reproductive Wellness,,Female Enhancement supports female vitality,,7.65,USD,Manufacturer: USA | SRP: $29.90,1,0,1
Apple Cider Vinegar Capsules,https://supliful.com/catalog/apple-cider-vinegar-capsules,Digestive Support,,Apple Cider Vinegar supports digestion and weight management,,5.89,USD,Manufacturer: USA | SRP: $29.99,1,0,1
5-HTP,https://supliful.com/catalog/5-htp-capsules,Specialty Supplements,,5-HTP supports mood and sleep quality,,7.29,USD,Manufacturer: USA | SRP: $19.90,1,0,1
Sleep Support,https://supliful.com/catalog/sleep-support-capsules,Sleep & Relaxation,,Sleep Support promotes restful sleep naturally,,7.05,USD,Manufacturer: USA | SRP: $29.90,1,0,1
L-Glutamine Powder,https://supliful.com/catalog/l-glutamine-powder,Post-Workout Recovery,,L-Glutamine Powder supports muscle recovery and gut health,,10.65,USD,Manufacturer: USA | SRP: $26.90,1,0,1
Keto-5,https://supliful.com/catalog/keto-5-capsules,Specialty Supplements,,Keto-5 supports ketogenic diet and fat burning,,8.09,USD,Manufacturer: USA | SRP: $32.90,1,0,1
Mushroom Coffee Fusion - Lion's Mane & Chaga 4oz,https://supliful.com/catalog/mushroom-coffee-fusion-lions-mane-chaga-4oz,Coffee & Tea,,Mushroom Coffee Fusion with Lion's Mane and Chaga for cognitive support,,8.69,USD,Manufacturer: USA | SRP: $19.90,1,0,0
Plant Protein (Vanilla),https://supliful.com/catalog/plant-protein-powder-vanilla,Proteins,,Plant Protein with vanilla flavor for muscle support,,24.99,USD,Manufacturer: USA | SRP: $44.90,1,0,1
Multivitamin Bear Gummies (Adult),https://supliful.com/catalog/multivitamin-bear-gummies-adult,Vitamins & Minerals,,Multivitamin Bear Gummies provide daily vitamins for adults,,7.55,USD,Manufacturer: USA | SRP: $19.90,1,0,1
Energy Powder (Melon Creamsicle),https://supliful.com/catalog/energy-powder-melon-creamsicle,Pre-Workout Supplements,,Energy Powder with melon creamsicle flavor for workout energy,,11.65,USD,Manufacturer: USA | SRP: $34.99,1,0,0
Energy Powder (Yuzu Flavor),https://supliful.com/catalog/energy-powder-yuzu,Pre-Workout Supplements,,Energy Powder with yuzu flavor for workout energy,,11.65,USD,Manufacturer: USA | SRP: $34.99,1,0,0
Focus Powder (Sour Gummi Worm),https://supliful.com/catalog/focus-powder-sour-gummi-worm,Brain & Cognitive,,Focus Powder with sour gummi worm flavor for mental clarity,,13.75,USD,Manufacturer: USA | SRP: $39.90,1,0,1
Ginkgo Biloba + Ginseng,https://supliful.com/catalog/ginkgo-biloba-ginseng-capsules,Specialty Supplements,,Ginkgo Biloba + Ginseng supports cognitive function and energy,,8.29,USD,Manufacturer: USA | SRP: $29.90,1,0,0
Chaga Mushroom,https://supliful.com/catalog/chaga-mushroom-capsules,Mushroom Products,,Chaga Mushroom supports immune health and vitality,,13.09,USD,Manufacturer: USA | SRP: $29.90,1,0,1
Energy Powder (Lychee Splash Energy),https://supliful.com/catalog/energy-powder-lychee-splash,Pre-Workout Supplements,,Energy Powder with lychee splash flavor for workout energy,,11.65,USD,Manufacturer: USA | SRP: $34.99,1,0,1
Ayurvedic Complex,https://supliful.com/catalog/ayurvedic-complex-capsules,Specialty Supplements,,Ayurvedic Complex supports holistic wellness,,8.35,USD,Manufacturer: USA | SRP: $29.90,1,0,0
Birch Chaga Truffles,https://supliful.com/catalog/birch-chaga-truffles,Digestive Support,,Birch Chaga Truffles provide mushroom-infused wellness,,17.59,USD,Manufacturer: USA | SRP: $49.90,1,0,0
Focus Powder (Sour Candy),https://supliful.com/catalog/focus-powder-sour-candy,Brain & Cognitive,,Focus Powder with sour candy flavor for mental clarity,,13.79,USD,Manufacturer: USA | SRP: $39.90,1,0,0
Colostrum Capsules,https://supliful.com/catalog/colostrum-capsules,Post-Workout Recovery,,Colostrum Capsules support immune health and gut wellness,,8.49,USD,Manufacturer: USA | SRP: $35.00,1,0,1
Peptide Moisturizer,https://supliful.com/catalog/peptide-moisturizer,Facial Care,,Peptide Moisturizer firms and hydrates skin,,13.09,USD,Manufacturer: USA | SRP: $27.99,1,0,0
Natural Gut Wellness Powder,https://supliful.com/catalog/natural-gut-wellness-powder-fulvic-acid,Digestive Support,,Natural Gut Wellness Powder supports digestive health,,13.59,USD,Manufacturer: USA | SRP: $49.00,1,0,0
Green Tea Antioxidant Serum,https://supliful.com/catalog/green-tea-antioxidant-serum,Facial Care,,Green Tea Antioxidant Serum protects and revitalizes skin,,11.35,USD,Manufacturer: USA | SRP: $23.99,1,0,0
Polar Flex Cooling Gel,https://supliful.com/catalog/polar-flex-cooling-gel,Body Care,,Polar Flex Cooling Gel soothes muscles and joints,,7.35,USD,Manufacturer: USA | SRP: $16.50,1,0,0
Turmeric Gummies,https://supliful.com/catalog/turmeric-gummies,Specialty Supplements,,Turmeric Gummies support joint health and inflammation,,8.35,USD,Manufacturer: USA | SRP: $22.90,1,0,0
